ID,Class_Rank,GPA,Major,Psych_Courses,Study_Hours,Tv_hours,Summer_TV,graduate,Siblings,Grad_School,Expected_Grade,HS_GPA
1,3,2.9,1,2,9,5,10,2,4,1,10,1.9
2,3,2.85,1,7,3,2,1,1,1,1,9,1.89
3,2,3.61,1,3,12,16,14,2,2,1,9,3.76
4,2,3.64,1,1,8,1,30,1,4,1,9,3.73
5,2,3.46,1,1,2,15,30,2,2,1,9,3
6,3,2.15,1,1,6,5,11,2,2,1,6,3.1
7,2,3.48,2,1,2,7,7,2,3,1,10,3.14
8,2,3.86,2,1,10,5,10,2,1,1,10,4
9,3,2.43,1,4,5,15,5,1,2,1,9,3
10,2,3.11,1,3,10,0,2,2,1,1,8,3.5
11,2,3.36,1,2,3,2,6,2,1,1,8,3.6
12,2,3.29,1,1,3,2,4,2,3,1,7,3.75
13,2,3.35,1,2,10,4,6,1,1,1,7,3.25
14,2,3,2,3,4,2,5,2,6,1,10,3.88
15,2,3.61,1,1,9,4,10,2,3,1,10,3
16,2,3.72,1,2,9,1,3,2,1,1,10,3.54
17,3,3.17,1,1,15,3,10,2,3,1,6,2.89
18,4,3,2,3,20,24,19,2,2,1,10,3.5
19,3,3.56,1,4,10,9,20,1,3,1,9,3.45
20,3,3.5,1,7,3,3,3,2,1,2,7,3.2
21,2,2.15,1,1,12,4,1,2,1,1,7,3.27
22,2,3,1,1,5,10,20,1,9,1,10,3
23,4,2.8,1,8,12,8,20,2,2,1,9,2.8
24,3,2.82,1,3,5,10,12,2,2,1,10,3.3
25,2,1.85,1,1,8,0,10,2,3,1,6,3.25
26,3,2.84,1,1,8,2,1,2,3,1,10,3.15
27,2,1.8,1,3,8,6,12,2,2,1,8,3.4
28,2,3.82,1,2,20,0,0,1,0,1,10,3.45
29,2,2.5,1,1,5,10,20,2,1,1,8,3.1
30,4,2.8,2,4,8,6,48,2,2,1,8,2.8
31,2,3.2,2,2,4,1,4,2,2,1,8,3.4
32,3,2.8,1,3,20,20,20,2,2,1,10,3
33,3,2.9,1,7,10,4,4,2,2,1,8,3.2
34,4,3.2,1,12,8,8,3,1,2,1,10,3.43
35,1,3.31,1,7,25,3,20,2,3,1,10,3.2
36,2,3.02,1,1,5,5,7,2,3,1,8,3.5
37,4,3.72,1,13,15,7,10,2,1,1,10,3.23
38,2,3,1,2,4,2,5,2,1,1,7,3.6
39,4,3.2,2,1,8,4,15,1,3,1,8,3.65
