"","SUBMIT","QUALITY","UNIVERS","MONEY"
"1",3.4,1,0.7,21
"2",2.9,2,1.3,50
"3",2.6,2.6,2.6,800
"4",3.8,1.3,1,221
"5",3,1.6,1.7,7
"6",2.5,2.1,0.7,108
"7",3.9,0.7,0.7,54
"8",4.3,0.6,0.4,99
"9",3.8,1.1,0.9,51
"10",3.4,1.1,0.9,47
"11",2.8,1.5,1,73
"12",2.9,1.5,1.2,25
"13",4.1,0.7,0.9,37
"14",2.7,1.7,0.7,83
"15",3.9,1.9,0.7,70
"16",4.1,0.3,0.3,16
"17",4.2,0.5,0.4,14
"18",3.1,1.1,0.5,12
"19",4.1,0.6,0.2,20
"20",3.6,0.8,0.3,18
"21",4.3,1.1,0.5,260
"22",4,0.8,0.4,100
"23",2.1,1.9,1.8,118
"24",3.8,0.8,0.0999999999999996,35
"25",2.7,1.5,0.0999999999999996,32
"26",4.4,0.399999999999999,0.2,25
"27",3.1,1.4,0.9,55
"28",3.6,1,0.4,28
"29",3.9,1.1,0.3,28
"30",2.9,1.7,0.9,27
"31",3.7,1,0.0999999999999996,25
"32",2.8,1.6,1.1,50
"33",3.3,1.3,1.3,76
"34",3.7,1,0.8,28
"35",4.2,0.399999999999999,0.2,85
"36",2.9,1.1,0.4,75
"37",3.9,0.8,0.8,90
"38",3.5,1.4,0.5,94
"39",3.8,1.6,0.9,65
"40",4,1,0.5,100
"41",3.1,1.1,0.8,105
"42",4.2,0.5,0.3,70
"43",3,1.4,0.3,49
"44",4.8,0.8,0.4,64
"45",3,1.7,1.3,700
"46",4.4,0.3,0,27
"47",4.4,0,0.2,15
"48",3.4,1.4,0.9,40
"49",4,0.6,0.5,18
"50",3.5,1.4,0.6,90
