id,q1a,q1b,q1c,q2,q3,qa,qb,Support
1,5,4,5,5,7,4,22,14
2,1,1,1,5,1,1,22,3
3,3,2,2,3,1,1,22,7
4,4,3,4,5,1,1,20,11
5,1,1,1,3,4,1,21,3
6,2,2,2,3,4,4,22,6
7,4,4,3,3,1,1,24,11
8,3,3,2,5,1,1,30,8
9,7,5,6,5,5,4,22,18
10,1,2,2,5,1,2,26,5
11,2,2,2,3,1,1,21,6
12,4,3,4,3,4,4,23,11
13,2,2,6,6,1,1,29,10
14,6,5,5,5,7,4,22,16
15,2,2,2,3,1,1,24,6
16,2,1,1,6,2,4,21,4
17,5,5,4,5,2,1,22,14
18,1,2,2,7,1,1,20,5
19,3,3,5,2,2,1,21,11
20,1,1,1,4,1,1,28,3
21,5,3,5,4,1,1,31,13
22,6,4,5,5,1,1,23,15
23,7,7,7,6,7,3,29,21
24,3,3,3,2,4,6,36,9
25,5,2,5,6,3,1,22,12
26,1,1,1,5,1,1,21,3
27,4,3,3,2,3,4,22,10
28,4,3,6,7,1,3,22,13
29,2,2,4,3,1,1,28,8
30,4,3,4,5,1,1,26,11
31,1,1,1,3,1,1,22,3
32,4,3,5,5,2,1,21,12
33,3,3,4,4,5,2,20,10
34,7,6,6,7,7,3,22,19
35,2,3,3,6,1,1,20,8
36,1,1,1,7,7,5,31,3
37,4,4,4,5,4,4,21,12
38,3,3,2,5,2,1,22,8
39,2,2,2,6,2,4,24,6
40,1,1,1,2,1,1,24,3
41,6,5,3,4,6,3,22,14
42,4,6,2,5,7,3,21,12
43,4,5,5,6,6,3,22,14
44,1,2,2,7,1,1,26,5
45,6,6,6,5,5,4,24,18
46,1,1,1,7,1,1,28,3
47,1,2,2,4,1,1,24,5
48,3,2,3,5,4,4,24,8
49,3,1,3,4,6,1,42,7
50,6,5,5,5,5,4,22,16
51,2,2,4,5,4,6,25,8
52,5,5,2,6,2,1,35,12
53,6,5,4,3,1,4,25,15
54,3,3,4,4,2,1,27,10
55,2,2,3,3,2,4,34,7
56,1,1,3,4,1,4,26,5
57,6,6,6,7,5,2,27,18
58,1,1,1,2,3,4,20,3
59,1,1,1,5,1,1,22,3
60,2,3,2,5,1,1,20,7
61,6,6,5,5,4,3,25,17
62,4,3,4,3,1,1,22,11
63,2,2,1,4,2,1,21,5
64,4,4,3,4,2,1,30,11
65,2,2,2,4,1,1,22,6
66,5,7,6,7,5,3,24,18
67,5,3,1,6,2,1,21,9
68,6,4,5,4,2,3,25,15
69,6,6,4,5,3,2,21,16
70,1,4,4,5,4,4,18,9
71,7,7,5,6,7,2,25,19
72,1,1,1,6,1,5,31,3
73,1,1,2,4,3,4,27,4
74,2,2,2,4,2,1,19,6
75,6,6,5,4,5,1,22,17
76,6,6,6,6,6,1,21,18
77,1,1,1,4,3,2,19,3
78,1,1,2,5,1,1,21,4
